,0,1,2
0,NOUVELLE FLORE ,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000",page 528 of document.pdf
1,451,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000",page 528 of document.pdf
2,Sous-famille des,"Font: 'Times-Italic' (italic, serifed, proportional), size 10.9449, color #000000",page 528 of document.pdf
3, PARONYCHIOIDEAE,"Font: 'Times-Italic' (italic, serifed, proportional), size 11, color #000000",page 528 of document.pdf
4,Feuilles habituellement stipulées. Sépales libres ou faiblement concrescents.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",page 528 of document.pdf
5,Corolle le plus souvent absente.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",page 528 of document.pdf
6,"PTERANTHUS Forsk. — Herbe annuelle, charnue, à feuilles opposées, fas-","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",page 528 of document.pdf
7,"ciculifères, ce qui les rend pseudo-verticillées. Cymes","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",page 528 of document.pdf
8, biflores,"Font: 'Times-Roman' (serifed, proportional), size 11, color #000000",page 528 of document.pdf
9, portés par un pédon-,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",page 528 of document.pdf
10,"cule commun accrescent, large, oblong, aplati et tombant avec lui. Fleurs sessiles,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",page 528 of document.pdf
11,"latérales. Calice 4-partite à sépales oblongs-linéaires, prolongés par un appendice","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",page 528 of document.pdf
12,vertical scarieux-marginé. 4 étamines. Pas de corolle.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",page 528 of document.pdf
13,Pteranthus,"Font: 'Times-Bold' (serifed, proportional, bold), size 10.9449, color #000000",page 528 of document.pdf
14, dichotomus,"Font: 'Times-Bold' (serifed, proportional, bold), size 11, color #000000",page 528 of document.pdf
15, Forsk. —,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",page 528 of document.pdf
16, P. echinatus,"Font: 'Times-Italic' (italic, serifed, proportional), size 10.9449, color #000000",page 528 of document.pdf
17, Desf.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",page 528 of document.pdf
18, (PI.,"Font: 'Times-Roman' (serifed, proportional), size 10.8914, color #000000",page 528 of document.pdf
